time	V(n001)	V(n003)
0.000000000000000e+00	0.000000e+00	0.000000e+00
3.564745501030660e-11	1.782373e-01	-5.534299e-11
7.129491002061321e-11	3.564745e-01	2.759554e-11
1.069423650309198e-10	5.347118e-01	2.488156e-10
1.425898200412264e-10	7.129491e-01	6.083171e-10
1.782372750515330e-10	8.911863e-01	1.106100e-09
2.138847300618396e-10	1.069424e+00	1.742165e-09
2.495321850721462e-10	1.247661e+00	2.516511e-09
4.895331211177496e-10	2.447666e+00	1.085775e-08
5.199981279087929e-10	2.599991e+00	1.258013e-08
5.809281414908795e-10	2.904641e+00	1.767140e-08
7.027881686550526e-10	3.513941e+00	3.035305e-08
7.562799456716538e-10	3.781400e+00	3.751490e-08
8.632634997048560e-10	4.316318e+00	5.621887e-08
1.000000000000000e-09	5.000000e+00	8.450243e-08
1.700012391310750e-08	5.000000e+00	8.738503e-05
3.300024782621501e-08	5.000000e+00	3.269870e-04
4.900037173932251e-08	5.000000e+00	7.188905e-04
6.500049565243001e-08	5.000000e+00	1.263095e-03
8.100061956553751e-08	5.000000e+00	1.959602e-03
9.700074347864501e-08	5.000000e+00	2.808410e-03
1.130008673917525e-07	5.000000e+00	3.809519e-03
2.250154084335345e-07	5.000000e+00	1.465864e-02
4.490444905170985e-07	5.000000e+00	5.231965e-02
7.684025009318232e-07	5.000000e+00	1.369427e-01
1.249597809628184e-06	5.000000e+00	3.181044e-01
1.883753106150533e-06	5.000000e+00	6.235850e-01
2.760769939494587e-06	5.000000e+00	1.112597e+00
3.737332439494587e-06	5.000000e+00	1.685337e+00
4.713894939494587e-06	5.000000e+00	2.242105e+00
5.690457439494587e-06	5.000000e+00	2.750864e+00
6.667019939494587e-06	5.000000e+00	3.196131e+00
7.643582439494588e-06	5.000000e+00	3.573910e+00
8.620144939494589e-06	5.000000e+00	3.886871e+00
9.596707439494590e-06	5.000000e+00	4.141191e+00
1.057326993949459e-05	5.000000e+00	4.344544e+00
1.154983243949459e-05	5.000000e+00	4.504882e+00
1.252639493949459e-05	5.000000e+00	4.629733e+00
1.350295743949459e-05	5.000000e+00	4.725844e+00
1.447951993949459e-05	5.000000e+00	4.799045e+00
1.545608243949459e-05	5.000000e+00	4.854227e+00
1.643264493949460e-05	5.000000e+00	4.895412e+00
1.740920743949460e-05	5.000000e+00	4.925846e+00
1.838576993949460e-05	5.000000e+00	4.948108e+00
1.936233243949460e-05	5.000000e+00	4.964223e+00
2.033889493949460e-05	5.000000e+00	4.975758e+00
2.131545743949460e-05	5.000000e+00	4.983916e+00
2.229201993949460e-05	5.000000e+00	4.989609e+00
2.326858243949460e-05	5.000000e+00	4.993521e+00
2.424514493949460e-05	5.000000e+00	4.996161e+00
2.522170743949460e-05	5.000000e+00	4.997905e+00
2.619826993949460e-05	5.000000e+00	4.999025e+00
2.717483243949461e-05	5.000000e+00	4.999717e+00
2.815139493949461e-05	5.000000e+00	5.000121e+00
2.912795743949461e-05	5.000000e+00	5.000340e+00
2.997181353505626e-05	5.000000e+00	5.000432e+00
3.059609760937860e-05	5.000000e+00	5.000458e+00
3.109320229092373e-05	5.000000e+00	5.000460e+00
3.155055436917930e-05	5.000000e+00	5.000451e+00
3.236990507098596e-05	5.000000e+00	5.000421e+00
3.323540952748818e-05	5.000000e+00	5.000379e+00
3.421197202748818e-05	5.000000e+00	5.000326e+00
3.518853452748818e-05	5.000000e+00	5.000274e+00
3.616509702748818e-05	5.000000e+00	5.000225e+00
3.909478452748818e-05	5.000000e+00	5.000113e+00
4.007134702748818e-05	5.000000e+00	5.000087e+00
4.104790952748818e-05	5.000000e+00	5.000067e+00
4.202447202748818e-05	5.000000e+00	5.000051e+00
4.300103452748819e-05	5.000000e+00	5.000038e+00
4.397759702748819e-05	5.000000e+00	5.000028e+00
4.495415952748819e-05	5.000000e+00	5.000021e+00
4.593072202748819e-05	5.000000e+00	5.000015e+00
4.690728452748819e-05	5.000000e+00	5.000011e+00
4.788384702748819e-05	5.000000e+00	5.000008e+00
4.983697202748819e-05	5.000000e+00	5.000004e+00
5.276665952748819e-05	5.000000e+00	5.000001e+00
5.491518574647315e-05	5.000000e+00	5.000001e+00
5.706371196545810e-05	5.000000e+00	5.000000e+00
5.921223818444306e-05	5.000000e+00	5.000000e+00
6.136076440342802e-05	5.000000e+00	5.000000e+00
6.350929062241298e-05	5.000000e+00	5.000000e+00
6.565781684139793e-05	5.000000e+00	5.000000e+00
6.780634306038288e-05	5.000000e+00	5.000000e+00
1.000010000000000e-04	5.000000e+00	5.000000e+00
1.000010459130603e-04	4.770435e+00	5.000000e+00
1.000010918261205e-04	4.540869e+00	5.000000e+00
1.000011377391807e-04	4.311304e+00	5.000000e+00
1.000011836522410e-04	4.081739e+00	5.000000e+00
1.000012295653013e-04	3.852173e+00	5.000000e+00
1.000012754783615e-04	3.622608e+00	5.000000e+00
1.000013213914217e-04	3.393043e+00	5.000000e+00
1.000016294124941e-04	1.852938e+00	5.000000e+00
1.000020000000000e-04	0.000000e+00	5.000000e+00
1.000453640322925e-04	0.000000e+00	4.999341e+00
1.000887280645850e-04	0.000000e+00	4.997652e+00
1.001320920968775e-04	0.000000e+00	4.994934e+00
1.001754561291700e-04	0.000000e+00	4.991186e+00
1.002188201614625e-04	0.000000e+00	4.986410e+00
1.002621841937550e-04	0.000000e+00	4.980603e+00
1.003055482260475e-04	0.000000e+00	4.973768e+00
1.006091335108456e-04	0.000000e+00	4.904458e+00
1.012163040804418e-04	0.000000e+00	4.684416e+00
1.021768781350427e-04	0.000000e+00	4.215658e+00
1.031534406350427e-04	0.000000e+00	3.661529e+00
1.041300031350427e-04	0.000000e+00	3.089154e+00
1.051065656350427e-04	0.000000e+00	2.547741e+00
1.060831281350427e-04	0.000000e+00	2.062725e+00
1.070596906350427e-04	0.000000e+00	1.644136e+00
1.080362531350427e-04	0.000000e+00	1.292733e+00
1.090128156350427e-04	0.000000e+00	1.004069e+00
1.099893781350427e-04	0.000000e+00	7.711335e-01
1.109659406350427e-04	0.000000e+00	5.859990e-01
1.119425031350427e-04	0.000000e+00	4.408035e-01
1.129190656350427e-04	0.000000e+00	3.282911e-01
1.138956281350427e-04	0.000000e+00	2.420672e-01
1.148721906350427e-04	0.000000e+00	1.766789e-01
1.158487531350427e-04	0.000000e+00	1.275907e-01
1.168253156350427e-04	0.000000e+00	9.110462e-02
1.178018781350427e-04	0.000000e+00	6.425561e-02
1.187784406350427e-04	0.000000e+00	4.469996e-02
1.197550031350427e-04	0.000000e+00	3.060864e-02
1.207315656350427e-04	0.000000e+00	2.057073e-02
1.217081281350427e-04	0.000000e+00	1.350957e-02
1.226846906350427e-04	0.000000e+00	8.611991e-03
1.236612531350427e-04	0.000000e+00	5.269973e-03
1.246378156350427e-04	0.000000e+00	3.033377e-03
1.256143781350427e-04	0.000000e+00	1.572308e-03
1.265909406350427e-04	0.000000e+00	6.292434e-04
1.273342430858396e-04	0.000000e+00	1.674525e-04
1.280129474182375e-04	0.000000e+00	-1.022931e-04
1.286923023331093e-04	0.000000e+00	-2.735971e-04
1.294676803182227e-04	0.000000e+00	-3.873308e-04
1.302609023771061e-04	0.000000e+00	-4.456436e-04
1.308022799556971e-04	0.000000e+00	-4.583861e-04
1.313877237606269e-04	0.000000e+00	-4.532547e-04
1.319808862753902e-04	0.000000e+00	-4.357627e-04
1.329009056692984e-04	0.000000e+00	-3.951826e-04
1.338474307020374e-04	0.000000e+00	-3.459406e-04
1.348239932020374e-04	0.000000e+00	-2.928708e-04
1.358005557020374e-04	0.000000e+00	-2.422291e-04
1.367771182020374e-04	0.000000e+00	-1.965783e-04
1.387302432020374e-04	0.000000e+00	-1.236681e-04
1.397068057020374e-04	0.000000e+00	-9.620926e-05
1.406833682020374e-04	0.000000e+00	-7.400094e-05
1.416599307020374e-04	0.000000e+00	-5.631524e-05
1.426364932020374e-04	0.000000e+00	-4.242059e-05
1.436130557020374e-04	0.000000e+00	-3.163638e-05
1.445896182020374e-04	0.000000e+00	-2.335959e-05
1.455661807020374e-04	0.000000e+00	-1.707393e-05
1.465427432020374e-04	0.000000e+00	-1.234865e-05
1.475193057020375e-04	0.000000e+00	-8.831634e-06
1.494724307020375e-04	0.000000e+00	-4.349587e-06
1.514255557020375e-04	0.000000e+00	-2.011955e-06
1.543552432020375e-04	0.000000e+00	-5.230762e-07
1.578959216943122e-04	0.000000e+00	-2.765194e-07
1.614366001865869e-04	0.000000e+00	-8.721062e-08
1.649772786788616e-04	0.000000e+00	4.485029e-08
1.685179571711363e-04	0.000000e+00	1.196633e-07
1.720586356634110e-04	0.000000e+00	1.372284e-07
1.755993141556857e-04	0.000000e+00	9.754555e-08
1.791399926479604e-04	0.000000e+00	6.148285e-10
2.000000000000000e-04	0.000000e+00	-1.150257e-12
2.000000459130634e-04	2.295653e-01	-1.320348e-10
2.000000918261269e-04	4.591306e-01	3.478947e-11
2.000001377391903e-04	6.886959e-01	4.993227e-10
2.000001836522537e-04	9.182613e-01	1.261565e-09
2.000002295653172e-04	1.147827e+00	2.321516e-09
2.000002754783806e-04	1.377392e+00	3.679176e-09
2.000003213914440e-04	1.606957e+00	5.334544e-09
2.000006294125378e-04	3.147063e+00	3.170848e-08
2.000010000000000e-04	5.000000e+00	8.708463e-08
2.000226793665383e-04	5.000000e+00	1.605006e-04
2.000443587330766e-04	5.000000e+00	5.957154e-04
2.000660380996149e-04	5.000000e+00	1.305732e-03
2.000877174661532e-04	5.000000e+00	2.290549e-03
2.001093968326915e-04	5.000000e+00	3.550168e-03
2.001310761992297e-04	5.000000e+00	5.084589e-03
2.001527555657680e-04	5.000000e+00	6.893810e-03
2.003045481902823e-04	5.000000e+00	2.566165e-02
2.005669407390370e-04	5.000000e+00	7.967671e-02
2.009471839705645e-04	5.000000e+00	1.976669e-01
2.014893423457917e-04	5.000000e+00	4.264717e-01
2.022148823385354e-04	5.000000e+00	8.024098e-01
2.031914448385354e-04	5.000000e+00	1.364542e+00
2.041680073385354e-04	5.000000e+00	1.934980e+00
2.051445698385354e-04	5.000000e+00	2.473570e+00
2.061211323385354e-04	5.000000e+00	2.955476e+00
2.070976948385354e-04	5.000000e+00	3.371020e+00
2.080742573385354e-04	5.000000e+00	3.719636e+00
2.090508198385354e-04	5.000000e+00	4.005857e+00
2.100273823385354e-04	5.000000e+00	4.236717e+00
2.110039448385354e-04	5.000000e+00	4.420132e+00
2.119805073385354e-04	5.000000e+00	4.563929e+00
2.129570698385354e-04	5.000000e+00	4.675322e+00
2.139336323385354e-04	5.000000e+00	4.760663e+00
2.149101948385354e-04	5.000000e+00	4.825364e+00
2.158867573385354e-04	5.000000e+00	4.873922e+00
2.168633198385354e-04	5.000000e+00	4.910005e+00
2.178398823385354e-04	5.000000e+00	4.936549e+00
