 1 | .250 | .120 | -83.8 
 2 | .500 | .220 | -81.4 
 3 | .750 | .320 | -79.8 
 4 | 1 | .440 | -76.5 
 5 | 1.5 | .600 | -71.8 
 6 | 2 | .760 | -66.8 
 7 | 2.5 | .920 | -61.6 
 8 | 3 | 1.05 | -57.0 
 9 | 3.5 | 1.17 | -52.5 
 10 | 4 | 1.29 | -48.2 
 11 | 4.5 | 1.37 | -44.1 
 12 | 5 | 1.49 | -40.3 
 13 | 7.5 | 1.71 | -25.4 
 14 | 10 | 1.85 | -12.4 
 15 | 12.5 | 1.87 | -3.9 
 16 | 14 | 1.87 | 0
 17 | 15 | 1.87 | 3.4 
 18 | 20 | 1.81 | 15.2 
 19 | 25 | 1.73 | 25.0 
 20 | 30 | 1.63 | 33.0 
 21 | 34 | 1.55 | 37.3 
  22 | 38 | 1.47 | 41.8 
 23 | 42 | 1.39 | 46.3 
 24 | 46 | 1.31 | 49.9 
 25 | 50 | 1.25 | 52.8 
 26 | 54 | 1.16 | 54.7 
 27 | 58 | 1.13 | 57.7 
 28 | 60 | 1.09 | 57.3 
 29 | 80 | .860 | 67.1 
 30 | 100 | .720 | 73.6 
